year,duration,NAR,block,treat,FDis
2019,2,5,4,2,1.02
2019,2,2,4,1,2.49
2019,2,2,4,2,2.1
2019,2,7,4,1,0.52
2019,2,5,5,1,0.65
2019,2,4,5,2,0.27
2019,2,2,5,2,1.3
2019,2,0,5,2,1.57
2019,2,0,5,1,1.77
2019,2,3,5,3,0.4
2019,2,4,5,1,0.91
2019,2,7,5,1,0.86
2019,2,7,5,3,0.27
2019,2,8,5,3,0.13
2019,2,2,5,3,0.17
2019,2,4,5,3,0.13
2019,2,3,5,1,0.96
2019,2,6,5,3,0.16
2019,2,2,5,1,1.64
2019,2,6,5,1,0.29
2019,2,5,5,2,1.12
2019,2,7,5,2,2.26
2019,2,5,5,3,0.53
2019,2,6,5,2,0.93
2019,2,3,5,2,1.32
2020,3,5,1,1,1.86
2020,3,3,1,3,1.3
2020,3,6,1,3,0.91
2020,3,2,1,2,2
2020,3,0,1,1,1.55
2020,3,6,1,1,1.84
2020,3,7,1,1,0.2
2020,3,4,1,2,2.28
2020,3,5,1,2,1.4
2020,3,5,1,3,2.29
2020,3,2,1,1,1.74
2020,3,7,1,3,1.89
2020,3,2,1,3,2.08
2020,3,4,1,3,0.93
2020,3,6,1,2,1.7
2020,3,0,1,2,1.6
2020,3,3,1,2,2.17
2020,3,7,1,2,0.95
2020,3,8,1,3,1.27
2020,3,4,1,1,1.81
2020,3,3,1,1,2.02
2020,3,7,2,1,2.01
2020,3,2,2,2,1.89
2020,3,3,2,1,2.28
2020,3,5,2,3,0.95
2020,3,8,2,3,2.71
2020,3,0,2,1,1.55
2020,3,5,2,1,0.91
2020,3,4,2,3,1
2020,3,7,2,2,0.88
2020,3,5,2,2,1.18
2020,3,6,2,1,0.4
2020,3,4,2,2,1.16
2020,3,3,2,2,1.82
2020,3,7,2,3,0.67
2020,3,3,2,3,0.83
2020,3,6,2,2,0.35
2020,3,0,2,2,1.51
2020,3,4,2,1,1.38
2020,3,2,2,1,1.92
2020,3,2,2,3,1.53
2020,3,6,2,3,1.66
2020,3,7,3,2,0.67
2020,3,5,3,2,0.89
2020,3,5,3,3,0.62
2020,3,2,3,1,1.59
2020,3,4,3,3,1.73
2020,3,0,3,1,1.13
2020,3,7,3,1,0.09
2020,3,6,3,2,0.33
2020,3,0,3,2,1.86
2020,3,3,3,1,2.06
2020,3,8,3,3,0.49
2020,3,2,3,2,2.06
2020,3,5,3,1,1.65
2020,3,3,3,3,0.18
2020,3,4,3,1,1.64
